TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
int	out vlan	ATTRIBUTE	NM N	C	ovs	https://github.com/openvswitch/ovs
size_t	over size	DECLARATION	P N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
OVS_WARN_UNUSED_RESULT*	ovs db transient datum from json	FUNCTION	PRE PRE NM N P N	C	ovs	https://github.com/openvswitch/ovs
json*	ovsdb atom string create no copy	FUNCTION	PRE PRE N V DT V	C	ovs	https://github.com/openvswitch/ovs
int	p 2	DECLARATION	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
v2s16	p 2d	PARAMETER	N NM	C++	freeminer	https://github.com/freeminer/freeminer
Fts5Table	p Fts5	ATTRIBUTE	PRE PRE	C	ccv	https://github.com/liuliu/ccv
Mem	p Mem 1	PARAMETER	PRE N D	C	ccv	https://github.com/liuliu/ccv
Token	p Name 2	PARAMETER	PRE N D	C	mgba	https://github.com/mgba-emu/mgba
double	p save	DECLARATION	PRE V	C	rigraph	https://github.com/igraph/rigraph
u8	p5 Err msg	PARAMETER	NM NM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
long	pad 0	ATTRIBUTE	N D	C++	panda3d	https://github.com/panda3d/panda3d
uint8_t	pad 2	ATTRIBUTE	N D	C	ovs	https://github.com/openvswitch/ovs
vector	param propagate down	ATTRIBUTE	N V P	C++	caffe	https://github.com/BVLC/caffe
NetParameter	param upgraded pad	PARAMETER	N V N	C++	caffe	https://github.com/BVLC/caffe
long	part 3	DECLARATION	N D	Java	guava	https://github.com/google/guava
boolean	partition Filter Push down	ATTRIBUTE	NM N V P	Java	drill	https://github.com/apache/drill
boolean	partitionby	DECLARATION	N	Java	drill	https://github.com/apache/drill
bool	pass through	DECLARATION	V P	C++	freeminer	https://github.com/freeminer/freeminer
String	path Name for Logs	PARAMETER	NM N P NPL	Java	Singularity	https://github.com/sylabs/singularity
ArrayList	paths 2	DECLARATION	NPL D	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
long	per Ex Train	DECLARATION	P NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
void	place all	FUNCTION	V DT	C++	panda3d	https://github.com/panda3d/panda3d
bool	playing Ch 2	ATTRIBUTE	V N D	C	mgba	https://github.com/mgba-emu/mgba
int	plfit errno	PARAMETER	NM N	C	rigraph	https://github.com/igraph/rigraph
char*	plugin api info color rgb 2 term cb	FUNCTION	PRE PRE PRE NM N P NM N	C	weechat	https://github.com/weechat/weechat
void*	plugin script str 2 ptr	FUNCTION	PRE PRE N P D	C	weechat	https://github.com/weechat/weechat
SchemaPlus	plus Of This	PARAMETER	P P DT	Java	drill	https://github.com/apache/drill
void	pointer 1	PARAMETER	N D	C	weechat	https://github.com/weechat/weechat
int	prefix x 1	ATTRIBUTE	NM N D	C	weechat	https://github.com/weechat/weechat
ShaderContext*	prepare now	FUNCTION	V VM	C++	panda3d	https://github.com/panda3d/panda3d
Cell	prev nonsingleton	ATTRIBUTE	DT N	C++	rigraph	https://github.com/igraph/rigraph
UInt32	price 2	DECLARATION	N D	C	mgba	https://github.com/mgba-emu/mgba
void	print and free json	FUNCTION	V CJ V N	C	ovs	https://github.com/openvswitch/ovs
Multimap	probe Side Scan 2 hj	ATTRIBUTE	NM NM N P N	Java	drill	https://github.com/apache/drill
int	process IpV6 Packet	FUNCTION	V NM N	Java	drill	https://github.com/apache/drill
CLzmaEncProps	props 2	PARAMETER	NPL D	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
ImmutableList	proto classes	DECLARATION	NM NPL	Java	immutables	https://github.com/immutables/immutables
set	provided	DECLARATION	V	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
ColumnMetadata	provided Column	DECLARATION	V N	Java	drill	https://github.com/apache/drill
String	provided Password	PARAMETER	V N	Java	Openfire	https://github.com/igniterealtime/Openfire
TupleMetadata	provided Schema	ATTRIBUTE	V N	Java	drill	https://github.com/apache/drill
void	ptr 1	PARAMETER	N D	C++	proxygen	https://github.com/facebook/proxygen
void	ptr 2	PARAMETER	N D	C++	proxygen	https://github.com/facebook/proxygen
t_irc_channel	ptr channel 2	DECLARATION	NM N D	C	weechat	https://github.com/weechat/weechat
char	ptr in buf	DECLARATION	NM NM N	C	weechat	https://github.com/weechat/weechat
char	ptr next	DECLARATION	N DT	C	weechat	https://github.com/weechat/weechat
t_config_option	ptr option 1	DECLARATION	NM N D	C	weechat	https://github.com/weechat/weechat
mxArray*	ptr to handle	FUNCTION	N P N	C++	caffe	https://github.com/BVLC/caffe
node_info	q 0 h	DECLARATION	N D N	C++	meta	https://github.com/meta-toolkit/meta
QueryId	q 1	PARAMETER	N D	C++	drill	https://github.com/apache/drill
QueryId	q 2	PARAMETER	N D	C++	drill	https://github.com/apache/drill
uint64_t	r 14	ATTRIBUTE	N D	C	facebook-repo-ds2	https://github.com/facebookresearch/ds2
uint32_t	r 8	ATTRIBUTE	N D	C	facebook-repo-ds2	https://github.com/facebookresearch/ds2
SEXP	R igraph add myid to env	FUNCTION	PRE PRE V N P N	C	rigraph	https://github.com/igraph/rigraph
SEXP	R igraph matrix to SEXP	FUNCTION	PRE PRE N P N	C	rigraph	https://github.com/igraph/rigraph
shared_ptr	rank 0	PARAMETER	N D	C++	caffe	https://github.com/BVLC/caffe
bool	read only	ATTRIBUTE	V VM	C	ovs	https://github.com/openvswitch/ovs
bool	Read S3fs Passwd File	FUNCTION	V NM NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
bool	refine equal to first	ATTRIBUTE	V N P DT	C++	rigraph	https://github.com/igraph/rigraph
class	Regression 2D Adapter	CLASS	NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
v3f	rel cam up	DECLARATION	NM N P	C++	freeminer	https://github.com/freeminer/freeminer
void*	relay auth parse pbkdf2	FUNCTION	PRE PRE V N	C	weechat	https://github.com/weechat/weechat
void*	remove from menu bar	FUNCTION	V P NM N	C++	panda3d	https://github.com/panda3d/panda3d
int*	rename object no copy	FUNCTION	V N DT V	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
class	Replace ES419 Language Filter	CLASS	V NM NM N	Java	Singularity	https://github.com/sylabs/singularity
void	restore degs only	FUNCTION	V NPL VM	C++	rigraph	https://github.com/igraph/rigraph
ProjResult	result 2	DECLARATION	N D	Java	drill	https://github.com/apache/drill
int*	revwalk next toposort	FUNCTION	PRE DT N	C	git2r	https://github.com/ropensci/git2r
char	RFC3526 PRIME 4096	DECLARATION	NM N D	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
int	rgb 2	DECLARATION	N D	Java	Smack	https://github.com/igniterealtime/Smack
double	rmu 0	ATTRIBUTE	N D	C	rigraph	https://github.com/igraph/rigraph
int	root 1	ATTRIBUTE	N D	C	panda3d	https://github.com/panda3d/panda3d
Point3	row 2	DECLARATION	N D	C++	panda3d	https://github.com/panda3d/panda3d
RelDataType	row Type 1	PARAMETER	NM N D	Java	drill	https://github.com/apache/drill
uint8_t	rtc Free Page 1	ATTRIBUTE	PRE V N D	C	mgba	https://github.com/mgba-emu/mgba
bool	run once	DECLARATION	V VM	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
ovs_be64	rx1024 to 1522 packets	ATTRIBUTE	N P D NPL	C	ovs	https://github.com/openvswitch/ovs
ovs_be64	rx128 to 255 packets	ATTRIBUTE	N P D NPL	C	ovs	https://github.com/openvswitch/ovs
auto	s 1	DECLARATION	N D	C++	meta	https://github.com/meta-toolkit/meta
ImmutableBitSet	s Gby	DECLARATION	NM N	Java	drill	https://github.com/apache/drill
sockaddr_in6	s in6	DECLARATION	NM N	C++	freeminer	https://github.com/freeminer/freeminer
ObjectFile	s o File	PARAMETER	NM NM N	C++	cling	https://github.com/root-project/cling
int	s o Timeout	DECLARATION	NM NM N	Java	Openfire	https://github.com/igniterealtime/Openfire
bool	s set find and delete	FUNCTION	NM N V CJ V	C	ovs	https://github.com/openvswitch/ovs
S3Artifact	s3 Artifact	ATTRIBUTE	NM N	Java	Singularity	https://github.com/sylabs/singularity
Set	s3 Buckets	DECLARATION	PRE NPL	Java	Singularity	https://github.com/sylabs/singularity
List	s3 Services	ATTRIBUTE	PRE NPL	Java	Singularity	https://github.com/sylabs/singularity
String	s3 Uploader Key Pattern	DECLARATION	PRE NM NM N	Java	Singularity	https://github.com/sylabs/singularity
S3fsCurl	s3fs curl	DECLARATION	PRE N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
void*	s3fs exit fuse loop	FUNCTION	PRE NM NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
void*	s3fs init	FUNCTION	PRE V	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
fuse_operations	s3fs oper	DECLARATION	PRE N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int*	s3fs read link	FUNCTION	PRE NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
bool	s3fs str to offt	FUNCTION	PRE N P N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int*	s3fs truncate	FUNCTION	PRE V	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int*	s3fs utimens	FUNCTION	PRE N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
int	samples per buffer	ATTRIBUTE	NPL P N	C++	panda3d	https://github.com/panda3d/panda3d
void	save	ATTRIBUTE	V	C	meta	https://github.com/meta-toolkit/meta
String	SAVE AS 16 x 16	ATTRIBUTE	V P D P D	Java	Spark	https://github.com/apache/spark
bool	save before unloading	DECLARATION	V P V	C++	freeminer	https://github.com/freeminer/freeminer
png_size_t	save buffer max	ATTRIBUTE	V NM N	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
size_t	save data length	ATTRIBUTE	NM NM N	C	toxcore	https://github.com/TokTok/c-toxcore
int	save err no	DECLARATION	V NM N	C	ovs	https://github.com/openvswitch/ovs
Long	save Every Ms	ATTRIBUTE	V DT N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
boolean	save Every Since Last	ATTRIBUTE	V DT VM DT	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
SingularityCreateResult	save Expiring Object	FUNCTION	V NM N	Java	Singularity	https://github.com/sylabs/singularity
void	save Mail Record	FUNCTION	V NM N	Java	Singularity	https://github.com/sylabs/singularity
boolean	save Output	ATTRIBUTE	V N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
boolean	save Samples	FUNCTION	V NPL	Java	drill	https://github.com/apache/drill
SingularityCreateResult	save Task History Update	FUNCTION	V NM NM N	Java	Singularity	https://github.com/sylabs/singularity
int	sbox 4	DECLARATION	N D	Java	Openfire	https://github.com/igniterealtime/Openfire
void*	scan for sliders	FUNCTION	V P NPL	C++	panda3d	https://github.com/panda3d/panda3d
uint64_t	select in word	FUNCTION	V P N	C	meta	https://github.com/meta-toolkit/meta
void	send everything	FUNCTION	V DT	C++	panda3d	https://github.com/panda3d/panda3d
int	send to buffer	PARAMETER	V P N	C	weechat	https://github.com/weechat/weechat
class	Separable Convolution 2D	CLASS	NM N NM	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
guint32	Server 1	ATTRIBUTE	N D	C	wireshark	https://github.com/wireshark/wireshark
string	server and port	DECLARATION	N CJ N	C++	panda3d	https://github.com/panda3d/panda3d
ccv_cnnp_cmd_exec_io_set_by_t	set by	DECLARATION	V P	C	ccv	https://github.com/liuliu/ccv
void	set dampen on bodies	FUNCTION	V V P NPL	C++	panda3d	https://github.com/panda3d/panda3d
void	set data 4d	FUNCTION	V N NM	C++	panda3d	https://github.com/panda3d/panda3d
void	set has blob included in max row size	FUNCTION	V V N V P NM NM N	C++	drill	https://github.com/apache/drill
bool	Set IAM v2 API Token	FUNCTION	V NM NM NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
Builder	set Part 1	FUNCTION	V N D	Java	drill	https://github.com/apache/drill
void	set server and port	FUNCTION	V N CJ N	C++	panda3d	https://github.com/panda3d/panda3d
String	SHA256 ALGORITHM	ATTRIBUTE	NM N	Java	metrics	https://github.com/dropwizard/metrics
int	shift by	PARAMETER	V P	C	git2r	https://github.com/ropensci/git2r
int	short too	PARAMETER	NM VM	C	mgba	https://github.com/mgba-emu/mgba
String	show String for Add	DECLARATION	NM N P N	Java	Spark	https://github.com/apache/spark
uint64_t	significand	ATTRIBUTE	N	C++	toggldesktop	https://github.com/toggl-open-source/toggldesktop
Date	since	ATTRIBUTE	P	Java	Smack	https://github.com/igniterealtime/Smack
class	Singularity S3 Service	CLASS	PRE PRE N	Java	Singularity	https://github.com/sylabs/singularity
class	Singularity S3 Services	CLASS	PRE PRE NPL	Java	Singularity	https://github.com/sylabs/singularity
class	Singularity S3 Uploader	CLASS	PRE PRE N	Java	Singularity	https://github.com/sylabs/singularity
class	Singularity S3 Uploader Configuration	CLASS	PRE PRE NM N	Java	Singularity	https://github.com/sylabs/singularity
class	Singularity S3 Uploader Content Headers	CLASS	PRE PRE NM NM NPL	Java	Singularity	https://github.com/sylabs/singularity
class	Singularity S3 Uploader File	CLASS	PRE PRE NM N	Java	Singularity	https://github.com/sylabs/singularity
uint32_t	size from ipv4	DECLARATION	N P N	C	ovs	https://github.com/openvswitch/ovs
int	size in datum	DECLARATION	N P N	C++	caffe	https://github.com/BVLC/caffe
bool	skip im 2 col	PARAMETER	V N P N	C++	caffe	https://github.com/BVLC/caffe
class	SLF4J Debugger Factory	CLASS	PRE NM N	Java	Smack	https://github.com/igniterealtime/Smack
void	SM83 Instruction IRQ Stall	FUNCTION	PRE PRE NM N	C	mgba	https://github.com/mgba-emu/mgba
bool	SM83 Tick Internal	FUNCTION	PRE N NM	C	mgba	https://github.com/mgba-emu/mgba
sockaddr_in	sock 4	DECLARATION	N D	C	toxcore	https://github.com/TokTok/c-toxcore
prpack_result*	solve via gs	FUNCTION	V P N	C++	rigraph	https://github.com/igraph/rigraph
bool	some air	DECLARATION	DT N	C++	freeminer	https://github.com/freeminer/freeminer
boolean	some Columns Indexed	FUNCTION	DT NPL V	Java	drill	https://github.com/apache/drill
Class	some Reference	ATTRIBUTE	DT N	Java	drill	https://github.com/apache/drill
class	Sort Collector Labels 1	CLASS	V NM NPL D	C++	panda3d	https://github.com/panda3d/panda3d
int	spaces every	PARAMETER	NPL DT	C++	panda3d	https://github.com/panda3d/panda3d
void*	spell speller add dicts to hash	FUNCTION	PRE PRE V NPL P N	C	weechat	https://github.com/weechat/weechat
void*	spx nt prod 1	FUNCTION	PRE NM N D	C	rigraph	https://github.com/igraph/rigraph
void	sqlite3 Expr If True	FUNCTION	PRE N CJ NM	C	mgba	https://github.com/mgba-emu/mgba
void	sqlite3 Fts3 Hash Find	DECLARATION	PRE PRE N V	C	toggldesktop	https://github.com/toggl-open-source/toggldesktop
void*	sqlite3 Fts3 Hash Insert	FUNCTION	PRE PRE N V	C	ccv	https://github.com/liuliu/ccv
void	sqlite3 Fts3 Seg Reader Free	DECLARATION	PRE PRE NM N V	C	ccv	https://github.com/liuliu/ccv
void	sqlite3 Put 4 byte	FUNCTION	PRE V D N	C	ccv	https://github.com/liuliu/ccv
int*	sqlite3 rtree geometry callback	FUNCTION	PRE PRE NM N	C	ccv	https://github.com/liuliu/ccv
int	sqlite3 Where Trace	DECLARATION	PRE NM N	C	mgba	https://github.com/mgba-emu/mgba
flow_wildcards	src 1	PARAMETER	N D	C	ovs	https://github.com/openvswitch/ovs
re_node_set	src 2	PARAMETER	N D	C	git2r	https://github.com/ropensci/git2r
ovs_be16	src as	ATTRIBUTE	NM N	C	ovs	https://github.com/openvswitch/ovs
ostringstream	ss all	DECLARATION	N DT	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
stnode_t	st arg 2	PARAMETER	NM N D	C	wireshark	https://github.com/wireshark/wireshark
size_t	start R 1	DECLARATION	NM N D	C++	meta	https://github.com/meta-toolkit/meta
int	stash update index from diff	FUNCTION	PRE V N P N	C	git2r	https://github.com/ropensci/git2r
lm_state	state next	DECLARATION	N DT	C++	meta	https://github.com/meta-toolkit/meta
boolean	still Waiting	DECLARATION	VM V	Java	Smack	https://github.com/igniterealtime/Smack
void	store Last Err no	FUNCTION	V DT NM N	C	ccv	https://github.com/liuliu/ccv
int	str 2 int	FUNCTION	N P N	C	rigraph	https://github.com/igraph/rigraph
const_iterator	str 2 it	DECLARATION	N D N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
string	str all	DECLARATION	N DT	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
string	str iam v2 token	DECLARATION	NM NM NM N	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
string	str now	DECLARATION	N VM	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
optional	stream for	FUNCTION	V P	C++	meta	https://github.com/meta-toolkit/meta
int*	string base16 decode	FUNCTION	N NM V	C	weechat	https://github.com/weechat/weechat
int*	string base16 encode	FUNCTION	N NM V	C	weechat	https://github.com/weechat/weechat
int	string base32 decode	FUNCTION	N NM V	C	weechat	https://github.com/weechat/weechat
char	string p	PARAMETER	NM N	C	naemon-core	https://github.com/naemon/naemon-core
int	subexp to	ATTRIBUTE	N P	C	git2r	https://github.com/ropensci/git2r
int*	submodule load each	FUNCTION	PRE V DT	C	git2r	https://github.com/ropensci/git2r
List	subtypes 1	DECLARATION	NPL D	Java	drill	https://github.com/apache/drill
int	sum 2	DECLARATION	N D	C	rigraph	https://github.com/igraph/rigraph
boolean	supports Join Push down	ATTRIBUTE	V V V P	Java	drill	https://github.com/apache/drill
boolean	supports Sort Push down	ATTRIBUTE	V V V P	Java	drill	https://github.com/apache/drill
void	T 1 Prepare Mun map Code	FUNCTION	N D V NM NM N	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
PN_stdfloat	t 1 y	DECLARATION	N D N	C++	panda3d	https://github.com/panda3d/panda3d
uint32_t	T 2 MOV 16 Set Immediate	FUNCTION	N D N D V NM	C++	facebook-repo-ds2	https://github.com/facebookresearch/ds2
T3	t 3	DECLARATION	N D	Java	immutables	https://github.com/immutables/immutables
PushTransactionRAII	T for Deser	DECLARATION	N P N	C++	cling	https://github.com/root-project/cling
timespec	t s now	DECLARATION	NM N VM	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
timeval	t v now	DECLARATION	NM N VM	C	weechat	https://github.com/weechat/weechat
ParquetTableMetadata_v4	table Metadata V 4	DECLARATION	NM N NM D	Java	drill	https://github.com/apache/drill
void*	tag all	FUNCTION	V DT	C++	panda3d	https://github.com/panda3d/panda3d
int	target 1	ATTRIBUTE	N D	C	mgba	https://github.com/mgba-emu/mgba
void	temp Data 1	ATTRIBUTE	NM N D	C++	caffe	https://github.com/BVLC/caffe
void	temp Data 2	ATTRIBUTE	NM N D	C++	caffe	https://github.com/BVLC/caffe
fsblkcnt_t	ten 00	DECLARATION	D D	C++	s3fs-fuse	https://github.com/s3fs-fuse/s3fs-fuse
ccv_nnc_tensor_symbol_info_t	tensor a	PARAMETER	NM N	C	ccv	https://github.com/liuliu/ccv
double	term and class	FUNCTION	N CJ N	C++	meta	https://github.com/meta-toolkit/meta
char	text only	PARAMETER	N NM	C	libxo	https://github.com/Juniper/libxo
Occupant	that	DECLARATION	DT	Java	Openfire	https://github.com/igniterealtime/Openfire
DruidStoragePluginConfig	that Config	DECLARATION	DT N	Java	drill	https://github.com/apache/drill
LogicalExpression	that Expr	PARAMETER	DT N	Java	drill	https://github.com/apache/drill
Class	the Class	DECLARATION	DT N	Java	Openfire	https://github.com/igniterealtime/Openfire
